name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike,google_id
Holiday Inn Paris Auteil,55956313498e77c4076f507a,48.837965974054526,2.2584394611784866,,,['France'],Hotel,75016,16,0,ChIJVx7YA7565kcRC1rxyKhvhhY
Sakura Hotel,4c488b160f5aa5932f9d8176,48.835570000000004,2.2495580000000004,,Tokyo,"['Tokyo', 'France']",Hotel,92100,0,0,ChIJGwk7T-p65kcR7t9zGYqAczU
Hôtel Printania,540f8936498eb9a90f99641d,48.83611297607422,2.2506566047668457,,Boulogne-Billancourt,"['48 Avenue Édouard Vaillant', 'Boulogne-Billancourt', 'France']",Hotel,92100,0,0,ChIJs70d-up65kcRCbyYWJlZwrw
Hommes Excel Proche Du Palais Du Roi,4ec41d159adf106751c8ae05,48.840633544098644,2.265574618759072,,Paris,"['Paris', 'France']",Bed & Breakfast,75016,16,0,ChIJYVUgyIbEw0cRw2MIGVdkl7k
Hôtel À l'Orée du Parc,58a3ea91fc73d422d5847d55,48.838286243361,2.258576018856774,75016,Paris,"['215 avenue de Versailles', '75016 Paris', 'France']",Hotel,75016,16,0,ChIJQ_I0B7565kcR2AB2q3ngJro
Hôtel Boileau,4c610a3312e5c928e1af204c,48.83737807612925,2.258764715366369,75016,Paris,"['81 rue Boileau', '75016 Paris', 'France']",Hotel,75016,16,2,ChIJ8xpy-7x65kcRvtKZwkk-aEM
193 Avenue De Versailles,51af25bc498e8cf2565c9316,48.839341999999995,2.262829,,,['France'],Bed & Breakfast,75016,16,0,ChIJdaywFr165kcRVfii_5wxod8
Cœur de City Hôtel Paris Tour Eiffel,4d3699c83612a093d378805d,48.83953722784667,2.2631197829817125,,Paris,"['11 rue Claude Terrasse', 'Paris', 'France']",Hotel,75016,16,0,ChIJLU7jZClu5kcR4PcOOO6p3I0
Mercure Aparthotel Le Scenario,4adcda03f964a520db3121e3,48.83395847614658,2.256216169108773,92100,Paris,"['63 Place René Clair', '92100 Paris', 'France']",Hotel,92100,0,5,ChIJHQcOX5R65kcRQI7zSPq8JY8
Hôtel Molitor,4b16b231f964a52030bc23e3,48.845172385975296,2.25329343788839,75016,Paris,"['8 avenue de la Porte Molitor (13 rue Nungesser et Coli)', '75016 Paris', 'France']",Hotel,75016,16,157,ChIJ1Z-HFcd65kcRzT3ZKuDSkW0
Queen's Hotel Paris,4be1a37e8dd062b56f6f3e3c,48.8485003,2.2662028,,Paris,"['4 Rue Bastien Lepage', 'Paris', 'France']",Hotel,75016,16,5,ChIJF0KY7q965kcRtNf616LY5JA
Villa du Square,5abfc3df9cadd93b8c7214e0,48.851864,2.264771,75016,Paris,"['26 Rue Raffet', '75016 Paris', 'France']",Bed & Breakfast,75016,16,0,ChIJL4a25bF65kcRpciD0Kjek8g
Hôtel Poussin,4adcda01f964a520443121e3,48.84855962396424,2.2612981561640955,75016,Paris,"['52 rue Poussin', '75016 Paris', 'France']",Hotel,75016,16,3,ChIJB-LilrB65kcRP67BrTsA5S8
Mariott,4d3412a88250f04d4e3b02e1,48.88184103062739,2.257623082539542,,,['France'],Hotel,92200,0,0,ChIJYyt4v8Nv5kcRqArzsLx7ENk
Meliá La Défense Paris,54e5ebe0498e41036f077fb4,48.88859987794451,2.2504377365112305,92400,Courbevoie,"['3 boulevard de Neuilly', '92400 Courbevoie', 'France']",Hotel,92400,0,108,ChIJn6jHKg5l5kcRa9vb3-L_XCc
Fraser Suites Harmonie Paris La Défense,4bd5f1189649ce72c5b9511d,48.88797581986726,2.2519037577315872,94200,Courbevoie,"['6 boulevard de Neuilly', '94200 Courbevoie', 'France']",Hotel,92400,0,43,ChIJIykPBxJl5kcRmrZ9of8iM5Y
Hôtel Novotel Paris La Défense,4adcd9fef964a520753021e3,48.88801611633813,2.252932190895081,92400,Courbevoie,"['2 boulevard de Neuilly', '92400 Courbevoie', 'France']",Hotel,92400,0,69,ChIJrUmJAQ5l5kcRqGmKPcM5Psc
Ibis Paris la Défense Centre (Hôtel ibis Paris La Défense Centre),4c50572b8edf0f4791141eaf,48.88802807602403,2.252484261989593,92800,Courbevoie,"['4 boulevard de Neuilly', '92800 Courbevoie', 'France']",Hotel,92400,0,38,ChIJC_y9dW1l5kcRzje1JyPiQN4
Hôtel Paris Neuilly,4bf04cf5c601a5936e8bc3d1,48.884351639288006,2.2604937225614545,92200,Neuilly-sur-Seine,"['1 avenue de Madrid', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,16,ChIJvxroI3dl5kcRjYJtyMXBTI8
Le Bon Hôtel,561bd0d5498e8c61e0337927,48.88616231666386,2.2610961645841603,92200,Neuilly-sur-Seine,"['13 rue du Château', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,4,ChIJ-_QIt21l5kcR6-fDY2FgV0E
Citadines La Défense Paris,4bc8e0b8762beee1c6a23d38,48.88861647409921,2.2527640237082065,92800,Courbevoie,"['1-8 boulevard de Neuilly', '92800 Courbevoie', 'France']",Hotel,92400,0,22,ChIJuf5Naw5l5kcRAFHyza1fbIc
LA VILLA 100,4c78a9092d3ba14389e68bd0,48.886278000000004,2.262384,,Calvi,"['Hôtel LA VILLA', 'Calvi', 'France']",Hotel,92200,0,0,
Chambre 1122 🎉,55d0e9ac498e869b7d27ace4,48.88949966430664,2.2499783039093018,,,['France'],Hotel,92400,0,0,
Hotel Charlemagne,4bc9e5233740b7130e795f65,48.884812329092966,2.258727089901539,92200,Neuilly-sur-Seine,"['1 Rue Charcot', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,4,ChIJEWmtmCNy5kcRRM1dW8DDP_A
Hôtel Kyriad Calais,5c41e696898bdc0032f67174,48.886303999999996,2.25704,62231,Coquelles,"['1 avenue Charles De Gaulle', '62231 Coquelles', 'France']",Hotel,92200,0,0,ChIJy_b231Q-3EcRTqufzzEh66Q
Adagio La Defense Kleber,4fbd64d6e4b04c2c0ab6f715,48.894512767171754,2.2489103797732715,92400,Courbevoie,"['73 avenue Gambetta', '92400 Courbevoie', 'France']",Hotel,92400,0,7,ChIJXaGwyAhl5kcRYdXMFfh-HHs
Hôtel Mercure Paris La Défense 5,4adcda04f964a520f33121e3,48.8957391630658,2.2513309121131897,92400,Courbevoie,"['18-30 rue Baudin', '92400 Courbevoie', 'France']",Hotel,92400,0,86,ChIJgQ-DGQll5kcRFkjidq-fstk
Hôtel Adagio La Défense Courbevoie,588fbbf1ea1c0d43694d6d4b,48.893599,2.252919,92400,Courbevoie,"['2-4 place des Pléiades', '92400 Courbevoie', 'France']",Hotel,92400,0,6,ChIJI-P-8Qtl5kcRvE-AxVN9G8A
Ibis Courbevoie - La Défense,4ce308d8c42f548129da3bb7,48.89576507288177,2.261600157232824,92400,Courbevoie,"['39 quai Paul Doumer', '92400 Courbevoie', 'France']",Hotel,92400,0,19,ChIJ8aXLynVl5kcRs1IkUs_KmxI
ibis Budget Courbevoie,4ca6a93f14c33704404dc23b,48.89564845854552,2.261710305897584,92400,Courbevoie,"['37 quai Paul Doumer', '92400 Courbevoie', 'France']",Hotel,92400,0,1,ChIJbcH7SnRl5kcRSo2hPJO9Zug
Best Western Rives de Paris La Defense,5686751a498e167f00f376c5,48.89775222765543,2.262298464775085,92400,Courbevoie,"['85 Boulevard Saint-Denis', '92400 Courbevoie', 'France']",Hotel,92400,0,0,ChIJT8ir9nVl5kcRbEdXGNHP-co
Hotel La Regence,4c9d002654c8a1cdbc877f4b,48.89414976915562,2.2482819040382456,,,['France'],Hotel,92400,0,9,ChIJp8Av2whl5kcRiyPDuKQ-sO8
Hotel de la Jatte,4c655044f67ec9288c315727,48.894044532769286,2.26653081980202,92200,Neuilly-sur-Seine,"['4 boulevard du Parc (Pont de la Jatte)', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,6,ChIJvxroI3dl5kcRjYJtyMXBTI8
Hotel Citea,4e511d9dc65bb313ba9ce01e,48.89582,2.25094,92400,Courbevoie,"['1 rue Bitche', '92400 Courbevoie', 'France']",Hotel,92400,0,0,ChIJJSFKK8Ju5kcR_0-beuu2exg
Salle de sport - Hotel Mercure La defense,56b247c6498e1e3e5a9ef7ef,48.895664000000004,2.2520279999999997,,,['France'],Resort,92400,0,0,ChIJgQ-DGQll5kcRFkjidq-fstk
Golden Tulip Montpellier Centre,5c41e2525a2c91002c870b29,48.899267,2.263303,34000,Montpellier,"['11 rue Jules Ferry', '34000 Montpellier', 'France']",Hotel,92400,0,0,ChIJ13myBI6vthIR7rmuH8cCnMI
Kyriad Paris Ouest - La Défense Courbevoie,4da60340f7b192b486642157,48.8982,2.2625305556,92400,Courbevoie,"['85 boulevard Saint-Denis', '92400 COURBEVOIE', 'France']",Hotel,92400,0,0,ChIJT8ir9nVl5kcRbEdXGNHP-co
Paris d'Issy Hôtel Porte de Versailles,584e5c8f6431e51a666e1674,48.823419,2.272769,92130,Issy-les-Moulineaux,"['4 rue Auguste Gervais', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,1,ChIJjTO_FYJ65kcR-OXWHvE6y0M
Ibis Styles Clamart Gare Grand Paris,5a4e703db0405618ead40cda,48.814564000000004,2.2745667000000003,92140,Clamart,"['11 Rue du Clos Mutholon', '92140 Clamart', 'France']",Hotel,92140,0,0,ChIJGSIK0YFw5kcRvnZYn6V_H_c
Best Western Paris Porte de Versailles,50d234c3e4b020c4cab0524e,48.823535045580044,2.274684637768587,92130,Issy-les-Moulineaux,"['11 bis avenue Jean Jaurès', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,5,ChIJuS92oXhw5kcRvGNHL17icl4
Hôtel Ibis Porte de Versailles Mairie d'Issy,4bd109ce20cd99601ca92e9e,48.82330814088078,2.27475566214576,92130,Issy-les-Moulineaux,"['15 avenue Jean Jaurès', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,5,ChIJX0Huo3hw5kcRk3uQPAeBa8E
Hôtel Bootcamp by HappyCulture,57dfd541498e32d8ee44cf6f,48.8233855,2.272926,92130,Issy-les-Moulineaux,"['6 rue Auguste Gervais', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,1,ChIJF5dAFoJ65kcRXooqiUa4hDA
Campanile Paris Sud Issy Les Mo Hotel Vanves,4bd8a1e12ecdce7222e0d0f2,48.82295959222578,2.2840504304330214,,Vanves,"['PARC D ACTIVITES', 'Vanves', 'France']",Hotel,92170,0,0,ChIJZ-1W_ot65kcRyaqLdxZk_AE
Hotel De La Mairie,50596b42e4b02a61e26d273e,48.823419,2.272769,92130,Issy-les-Moulineaux,"['4 rue Auguste Gervais', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,0,ChIJW36APT5w5kcRE2-GpdJPysQ
Classics Hotel Parc des Expositions,4c34cd8f213c2d7f5e1c395d,48.82338934315397,2.2731062329296394,92130,Issy-les-Moulineaux,"['6 Rue Auguste Gervais', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,3,ChIJF5dAFoJ65kcRXooqiUa4hDA
Classic Hotel,514cca6fe4b07ab0c2be5879,48.82341202532181,2.2730879071203667,,,['France'],Hotel,92130,0,0,ChIJF5dAFoJ65kcRXooqiUa4hDA
Room 604,5214b03e11d27593ae6b3be4,48.823534,2.2730759999999997,,Paris,"['Paris', 'France']",Bed & Breakfast,92130,0,0,
Adagio Porte de Versailles,4e3ef9fad164b52911c19ff5,48.83072410192776,2.280843084884449,92130,Issy-les-Moulineaux,"['16 rue Eliane Jeannin Garreau', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,13,ChIJezwtUHFw5kcRXg0zjaZRue4
Hôtel Océania Paris Porte de Versailles,4baf8af1f964a520ec083ce3,48.83045019514152,2.284402596545703,75015,Paris,"[""52 rue d'Oradour-sur-Glâne"", '75015 Paris', 'France']",Hotel,92130,0,67,ChIJk0QEunFw5kcRZWlV5S9F5rY
OKKO HOTELS Paris Porte de Versailles,5932b8ed4aa3f81b1c3eb1a2,48.83271665905608,2.278323355915408,75015,Paris,"['2 rue du Colonel Avia', '75015 Paris', 'France']",Hotel,75015,15,29,ChIJoe6UJXRw5kcROzDW8BFoEHA
Hôtel Izzy by HappyCulture,57dfd5f0498e779b85f533f0,48.828733899999996,2.2832114,92130,Issy-les-Moulineaux,"['3 rue Georges Marie', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,1,ChIJqX4R9HBw5kcRHhGIe4HvtZg
Hôtel Luxor,50a212c0c84cc1ef7905585b,48.82878851756803,2.28249884043587,92130,Issy-les-Moulineaux,"['24 rue Ernest Renan', '92130 Issy-les-Moulineaux', 'France']",Hostel,92130,0,1,ChIJx8V1SYQVSRQRUo4ZK01ndCg
Adagio City Aparthotel Paris XV,4adcda04f964a520053221e3,48.83086020048804,2.2820292399454414,75015,Paris,"[""20 rue d'Oradour-sur-Glane"", '75015 Paris', 'France']",Hotel,92130,0,22,ChIJMyacW3Fw5kcR9vedBNXSP1A
Classics Hotel Porte de Versailles,4df85471ae608a367ce96986,48.82872390900209,2.283096202522464,92130,Issy-les-Moulineaux,"['3 rue Georges Marie', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,3,ChIJqX4R9HBw5kcRHhGIe4HvtZg
Hotel Gabriel,4ba4f454f964a52004c838e3,48.82786290417209,2.2733559557323706,92130,Issy-les-Moulineaux,"['32, bd des Frères voisins', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,9,ChIJCduESZ165kcRPgunVHeXAK4
Le Mas d'Artagny,4f7bebc1e4b0f002b4685963,48.830812,2.282079,,,['France'],Hotel,92130,0,0,
달걀민박,51d4743b498e71c832182e9c,48.82695244588045,2.2800875371429776,,,['France'],Bed & Breakfast,92130,0,0,ChIJMf8R-Xlw5kcROQzchdCj6Yk
L'aeroclub,52c3039111d2b0c3cfb8961e,48.826821,2.279001,,,['France'],Hotel,92130,0,0,ChIJk1nNie9v5kcRHxTn8Fa6j8I
Hôtel Médian,4de56c79fa764cf4bec8372a,48.83617174312476,2.2790783643722534,75015,Paris,"['1 boulevard Victor', '75015 Paris', 'France']",Hotel,75015,15,14,ChIJdfIVOXVw5kcRPImm1OcJOlY
Hôtel Porte de Versailles (PVH),4adcda03f964a520a93121e3,48.83501551388064,2.2823711565356994,75015,Paris,"['11 boulevard Victor', '75015 Paris', 'France']",Hotel,75015,15,9,ChIJTXrFjW1w5kcRmBFWuPvxhjo
Cercle Militaire,4e7e4d68be7b719d7115c387,48.84133127963742,2.2817978818563254,75015,Paris,"['50 Rue Lacordaire', '75015 Paris', 'France']",Hotel,75015,15,0,ChIJIeCpXMpv5kcRmFYl4KVVtxw
Waytostay,4d41e547aed776eb9f656897,48.8399,2.2846,75015,Paris,"['Avenue Félix Faure, 15ème Seine', '75015 Paris', 'France']",Hotel,75015,15,0,ChIJTXQreMcPdkgRVy-B1VXDpNo
Hôtel du Parc Saint-Charles,4adcda02f964a5206c3121e3,48.83698143276766,2.277472286795573,75015,Paris,"['243 Rue Saint Charles', '75015 Paris', 'France']",Hotel,75015,15,3,ChIJfZYkMnVw5kcRnAL7A-H04bU
Hôtel Mon Reve,4adcda03f964a520bd3121e3,48.84003200985176,2.2848809107245898,75015,Paris,"['76 avenue Félix Faure', '75015 Paris', 'France']",Hotel,75015,15,2,ChIJ2Wh7IerMiEcR8nAJQ6WXtWs
Hotel Le Carrosse,4b978dbdf964a520860835e3,48.835495154401045,2.2858601357150463,75015,Paris,"['88 rue Desnouettes', '75015 Paris', 'France']",Hostel,75015,15,0,ChIJAXLs93Jw5kcRTeBFiVM68FY
Edgar Suites,5d2658a696ba5e00236a728a,48.83757,2.284584,75015,Paris,"['75015 Paris', 'France']",Hotel,75015,15,0,ChIJETw6HaRx5kcRc97Z6WHCNXU
Péniche Le Fleuron,502933a9e4b00bbc7b2f7f04,48.840430324054786,2.2707153977683507,,Paris,"['Pont de Garigliano', 'Paris', 'France']",Hostel,75015,15,0,ChIJrXqeIqd65kcRoH2rLWX4xU4
Résidence Lacordaire,5232176711d2136211e07c3e,48.84137970413235,2.2820287216139525,75015,Paris,"['50 Rue Lacordaire', '75015 Paris', 'France']",Resort,75015,15,0,ChIJF8DMDQxw5kcR3PvliLSKujw
Le Richemont,4d14ecda85fc6dcb7c319c4e,48.842856,2.279816,75015,Paris,"['22 rue Balard', '75015 Paris', 'France']",Hotel,75015,15,0,ChIJPxSNXyZy5kcRDCxUsSqKxi4
Waytostay,4d41e4e4aed776eb63556897,48.84117,2.28079,75015,Paris,"['Rue Balard, 15ème Seine', '75015 Paris', 'France']",Hotel,75015,15,0,ChIJTXQreMcPdkgRVy-B1VXDpNo
Hotel Parc St. Charles,4e3822798877541e90ec3a0f,48.837052,2.277139,,Paris,"['Paris', 'France']",Hotel,75015,15,0,ChIJfZYkMnVw5kcRnAL7A-H04bU
Hôtel Novotel Paris Tour Eiffel,4adcda03f964a520eb3121e3,48.84966163567228,2.2836917638778687,75015,Paris,"['61 quai de Grenelle', '75015 Paris', 'France']",Hotel,75015,15,226,ChIJZxFlNARw5kcRcfKfmkPZows
Adagio Paris Tour Eiffel,4ff4ce35e4b05ae5230ca326,48.84993901830529,2.28536614970222,75015,Paris,"['14-18 rue du Théãtre', '75015 Paris', 'France']",Hotel,75015,15,67,ChIJX9RX8QRw5kcRY3XmGsyKyGI
Hôtel Auteuil Tour Eiffel,4c5ac29867ac0f47dc6b074c,48.850503340950965,2.2754287482427813,75016,Paris,"['8-10 rue Félicien David', '75016 Paris', 'France']",Hotel,75016,16,30,ChIJg5hXyKl65kcR7akTh62Xq34
Yooma Urban Lodge,5925b611a423626ef4d35b77,48.85084434916715,2.2848975557612925,75015,Paris,"['51 quai de Grenelle', '75015 Paris', 'France']",Hotel,75015,15,20,ChIJ5_-sRARw5kcRUyQsODbZQlU
HotelHome Paris 16,4bcc5bfaaeaaeee134ed3d6d,48.85071489983015,2.267316491686947,,Paris,"['36 Rue George Sand', 'Paris', 'France']",Hotel,75016,16,1,ChIJv4EiTq565kcRhZe1QWaOr0I
Hôtel Beaugrenelle Saint-Charles,4e84bdaa2fb6611bdfd7031e,48.847260910853535,2.285866829019482,75015,Paris,"['82 rue Saint Charles', '75015 Paris', 'France']",Hotel,75015,15,7,ChIJE_qtiw9w5kcRkhuOFnpPhXc
Mercure Paris Plaza Pont Mirabeau,4db35c604b226b343d778c10,48.84640116077214,2.278825610534685,75015,Paris,"['10 avenue Émile Zola (Pont Mirabeau)', '75015 Paris', 'France']",Hotel,75015,15,20,ChIJvQlIXghw5kcRW28lcJdRWrA
Platine Hotel,4e5e27843151819897b3141e,48.847608721057995,2.2832061055911503,75015,Paris,"['20 rue Ingénieur Robert Keller', '75015 Paris', 'France']",Hotel,75015,15,21,ChIJB7CbigVw5kcReP-eWZofVRM
Hotel Mirabeau Eiffel,53695a6211d247e4230c8f9e,48.844073958332274,2.279676125025038,75015,,"['35 rue Sébastien Mercier', '75015', 'France']",Hotel,75015,15,5,ChIJf-WWEQlw5kcRK9lFv-BqS28
Hôtel Ribera,505b5c34e4b00f840bb518f6,48.850463,2.270494,75016,Paris,"['66 rue Jean de la Fontaine (Rue Ribéra)', '75016 Paris', 'France']",Hotel,75016,16,1,ChIJW5-q1q565kcR5RUVxasHlAw
Jouvênay,4ea19d82e5facb29c6e74420,48.84569978120389,2.268110672688162,,,['France'],Bed & Breakfast,75016,16,0,
Hôtel Félicien Paris,4bd5e907cfa7b713daa926da,48.84944074823388,2.274378563943017,75016,Paris,"['21 rue Félicien David', '75016 Paris', 'France']",Hotel,75016,16,14,ChIJRU_9Wqh65kcRfiMNrCG5Kn0
Oh! My Suite,565b6174498e0aff383c4aac,48.84766611924029,2.2842370147143845,75015,Paris,"['33 Rue Linois (Rue Émeriau)', '75015 Paris', 'France']",Bed & Breakfast,75015,15,0,ChIJUXkbz3l65kcR_Wcm09OvlYo
mercure syracuse,542b47fc498efa8eed6b6bb5,48.848773,2.284247,,,['France'],Resort,75015,15,0,ChIJYRRcb5rOExMRWX2ZNkp9vnI
P V Tour Eiffel Hotel,4bd74b2a304fce721b5433ab,48.84950890246145,2.286007562799763,,Paris,"['14 Rue Du Theatre', 'Paris', 'France']",Hotel,75015,15,0,ChIJX9RX8QRw5kcRY3XmGsyKyGI
Waytostay,4d41e4eeaed776ebb8576897,48.8501,2.2851,75015,Paris,"['Péniche Nova, 15ème Seine', '75015 Paris', 'France']",Hotel,75015,15,0,ChIJTXQreMcPdkgRVy-B1VXDpNo
La Villathèna 2,50618c52e4b0f6baef9c9db1,48.84697180722532,2.272413859253901,,,['France'],Hotel,75016,16,0,ChIJedMQakpu5kcRpez7lcXXbi4
파리지앵,4e6e9b8c22711f9baafbe1cd,48.8491,2.2840580000000004,,파리,"['파리', 'France']",Hostel,75015,15,0,ChIJA2WozONv5kcRDN_4jmUSXBk
Hôtel Eiffel Kennedy,4adcda01f964a520563121e3,48.85281949945198,2.276093441016564,75016,Paris,"['12 rue de Boulainvilliers', '75016 Paris', 'France']",Hotel,75016,16,3,ChIJkzEBAKp65kcR40fXc8940pM
Hôtel Square,4f416487e4b0740e7bcbe518,48.851521903639814,2.277560234069824,75016,Paris,"['3 rue de Boulainvilliers', '75016 Paris', 'France']",Hotel,75016,16,0,ChIJddXmQAdw5kcRQ5LWkw0p0Fw
Villathéna 2,51556f64e4b0133954461781,48.847087,2.272652,75016,Paris,"['5 rue Mirabeau', '75016 Paris', 'France']",Hotel,75016,16,0,ChIJedMQakpu5kcRpez7lcXXbi4
room 3002,534863d1498ea75b67c70fdf,48.84995594651348,2.2828597042400602,,,['France'],Hotel,75015,15,0,
Hôtel Passerelle des Arts,59a45e17a8eb606ea8db5cef,48.851346,2.279939,75016,Paris,"['1 avenue du Président Kennedy', '75016 Paris', 'France']",Hotel,75016,16,0,ChIJMblf3gZw5kcRjFzAGKok5_Y
Hôtel Brach,5bd97fb41fa763002cbcf8ba,48.861217475473325,2.2750818729400635,75116,Paris,"['1-7 rue Jean Richepin', '75116 Paris', 'France']",Hotel,75116,16,11,ChIJ70mPt1Vl5kcRTwF6NCOWUYs
